"","No","SiteID","LON","LAT","BP","Age","GPP","BPE","reference","Forest_type","PFT","species","Tg","g_vpd","soilCN","f","lnvpd","lnCN","lnf","lnage","f_incoparate","lnf_incoparate"
"1",1,1,89.23,60.45,NA,200,594,0.36026936026936,"Collalti 2020, Nature","evergreen","Forest","Scots pine",12.4096696853638,650.400646972656,14.7699998855591,0.419178082191781,6.47758855296351,2.69259808879509,-0.869459432190056,5.29831736654804,0.441095890410959,-0.818492988598028
"2",2,2,-98.2,55.53,252,150,863,0.292004634994206,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.820186937352,582.943133544922,17.477200378418,0.504109589041096,6.36808964050372,2.86089719598244,-0.684961595973506,5.01063529409626,0.526027397260274,-0.64240198155471
"3",3,3,-98.2,55.53,417,53,1160,0.35948275862069,"Collalti 2020, Nature","deciduous","Forest","Populus tremuloides",10.820186937352,582.943133544922,17.477200378418,0.504109589041096,6.36808964050372,2.86089719598244,-0.684961595973506,3.97029191355212,0.526027397260274,-0.64240198155471
"4",4,4,-98.2,55.53,237,150,1080,0.219444444444444,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.820186937352,582.943133544922,17.477200378418,0.504109589041096,6.36808964050372,2.86089719598244,-0.684961595973506,5.01063529409626,0.526027397260274,-0.64240198155471
"5",5,5,-98.2,55.53,228,63,880,0.259090909090909,"Collalti 2020, Nature","evergreen","Forest","Pinus banksiana",10.820186937352,582.943133544922,17.477200378418,0.504109589041096,6.36808964050372,2.86089719598244,-0.684961595973506,4.14313472639153,0.526027397260274,-0.64240198155471
"6",6,6,-98.96,55.91,220,154,723,0.304287690179806,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.2118589817484,556.658681030273,17.5330803009033,0.504109589041096,6.3219522711852,2.864089399464,-0.684961595973506,5.03695260241363,0.526027397260274,-0.64240198155471
"7",7,7,-98.96,55.91,343,74,634,0.541009463722397,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.2118589817484,556.658681030273,17.5330803009033,0.504109589041096,6.3219522711852,2.864089399464,-0.684961595973506,4.30406509320417,0.526027397260274,-0.64240198155471
"8",8,8,-98.96,55.91,254,40,646,0.393188854489164,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.2118589817484,556.658681030273,17.5330803009033,0.504109589041096,6.3219522711852,2.864089399464,-0.684961595973506,3.68887945411394,0.526027397260274,-0.64240198155471
"9",9,9,-98.96,55.91,340,23,710,0.47887323943662,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.2118589817484,556.658681030273,17.5330803009033,0.504109589041096,6.3219522711852,2.864089399464,-0.684961595973506,3.13549421592915,0.526027397260274,-0.64240198155471
"10",10,10,-98.96,55.91,215,15,450,0.477777777777778,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.2118589817484,556.658681030273,17.5330803009033,0.504109589041096,6.3219522711852,2.864089399464,-0.684961595973506,2.70805020110221,0.526027397260274,-0.64240198155471
"11",11,11,-98.96,55.91,222.72,151,696,0.32,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.2118589817484,556.658681030273,17.5330803009033,0.504109589041096,6.3219522711852,2.864089399464,-0.684961595973506,5.01727983681492,0.526027397260274,-0.64240198155471
"12",12,12,-98.2,55.33,244.53,159,741,0.33,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.9949716190497,591.029101562499,17.2792006530762,0.504109589041096,6.38186525741629,2.84950350380342,-0.684961595973506,5.06890420222023,0.526027397260274,-0.64240198155471
"13",13,13,-98.52,55.9,NA,71,NA,0.55,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.3188544871906,566.437753295898,17.5421002883911,0.504109589041096,6.3393671949885,2.86460372255715,-0.684961595973506,4.26267987704132,0.526027397260274,-0.64240198155471
"14",14,14,-98.32,55.91,NA,37,NA,0.58,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.3274023270607,568.380310668946,17.6976400726318,0.504109589041096,6.34279075570204,2.87343130146081,-0.684961595973506,3.61091791264422,0.526027397260274,-0.64240198155471
"15",15,15,-98.48,55.86,NA,20,NA,0.52,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.3999706858396,570.190812377929,17.5526602737427,0.504109589041096,6.34597106336722,2.86520552097384,-0.684961595973506,2.99573227355399,0.526027397260274,-0.64240198155471
"16",16,16,-98.48,55.88,181,120,812,0.222906403940887,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.3874078246454,570.008444213866,17.5627802597046,0.504109589041096,6.34565117512916,2.86578190481459,-0.684961595973506,4.78749174278205,0.526027397260274,-0.64240198155471
"17",17,17,-74.43,49.69,302,95,794,0.380352644836272,"Collalti 2020, Nature","evergreen","Forest","Picea mariana, Pinus banksiana",10.8111753956477,537.166643066407,15.720719833374,0.504109589041096,6.28630836865267,2.75497957687979,-0.684961595973506,4.55387689160054,0.520547945205479,-0.652873281422005
"18",18,18,-74.43,49.69,302,95,687,0.439592430858806,"Collalti 2020, Nature","evergreen","Forest","Picea mariana, Pinus banksiana",10.8111753956477,537.166643066407,15.720719833374,0.504109589041096,6.28630836865267,2.75497957687979,-0.684961595973506,4.55387689160054,0.520547945205479,-0.652873281422005
"19",19,19,-97.8,53.2,NA,68,NA,0.36,"Collalti 2020, Nature","deciduous","Forest","Populus tremuloides",NA,NA,16.2123041725159,NA,NA,2.78577047077337,NA,4.21950770517611,NA,NA
"20",20,20,-97.8,53.2,445,68,1350,0.32962962962963,"Collalti 2020, Nature","deciduous","Forest","Populus tremuloides",NA,NA,16.2123041725159,NA,NA,2.78577047077337,NA,4.21950770517611,NA,NA
"21",21,21,-97.8,53.2,NA,115,NA,0.34,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",NA,NA,16.2123041725159,NA,NA,2.78577047077337,NA,4.74493212836325,NA,NA
"22",22,22,-97.8,53.2,NA,63,NA,0.37,"Collalti 2020, Nature","evergreen","Forest","Pinus banksiana",NA,NA,16.2123041725159,NA,NA,2.78577047077337,NA,4.14313472639153,NA,NA
"23",23,23,-97.8,53.2,305,115,1090,0.279816513761468,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",NA,NA,16.2123041725159,NA,NA,2.78577047077337,NA,4.74493212836325,NA,NA
"24",24,24,-97.8,53.2,239,63,772,0.309585492227979,"Collalti 2020, Nature","evergreen","Forest","Pinus banksiana",NA,NA,16.2123041725159,NA,NA,2.78577047077337,NA,4.14313472639153,NA,NA
"25",25,25,-105.7,53.59,517,115,963,0.536863966770509,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.6849951471601,592.28946533203,11.887400062561,0.586301369863014,6.38399547709069,2.47547902090124,-0.53392133856064,4.74493212836325,0.605479452054794,-0.501734652064739
"26",26,26,30.58,62.47,279,50,846,0.329787234042553,"Collalti 2020, Nature","evergreen","Forest","Scots pine",9.92578498295377,495.850382995607,16.7562801567077,0.586301369863014,6.20627423403399,2.81877312272943,-0.53392133856064,3.91202300542815,0.605479452054794,-0.501734652064739
"27",27,27,19.27,64.07,530,30,1000,0.53,"Collalti 2020, Nature","evergreen","Forest","Picea abies",8.85374699030604,476.943011169433,15.2659009597778,0.586301369863014,6.16739701031148,2.72562164572113,-0.53392133856064,3.40119738166216,0.605479452054794,-0.501734652064739
"28",28,28,-105.52,39.54,472,40,915,0.515846994535519,"Collalti 2020, Nature","evergreen","Forest","Pinus contorta",8.30944565236562,541.591166992185,10.7547099567413,0.504109589041096,6.29451141236645,2.37534379413116,-0.684961595973506,3.68887945411394,0.526027397260274,-0.64240198155471
"29",29,29,-105.52,39.54,252,250,977,0.257932446264074,"Collalti 2020, Nature","evergreen","Forest","Pinus contorta",8.30944565236562,541.591166992185,10.7547099567413,0.504109589041096,6.29451141236645,2.37534379413116,-0.684961595973506,5.52146091786225,0.526027397260274,-0.64240198155471
"30",30,30,24.17,61.57,434.5,47,1028,0.422665369649805,"Collalti 2020, Nature","evergreen","Forest","Pinus sylvestris",9.2161776800081,464.752133789062,15.1999998092651,0.668493150684932,6.14150421785312,2.72129541530388,-0.40272912828929,3.85014760171006,0.693150684931507,-0.366507864854971
"31",31,31,24.17,61.57,NA,47,1028,0.305933852140078,"Collalti 2020, Nature","evergreen","Forest","Pinus sylvestris",9.2161776800081,464.752133789062,15.1999998092651,0.668493150684932,6.14150421785312,2.72129541530388,-0.40272912828929,3.85014760171006,0.693150684931507,-0.366507864854971
"32",32,32,24.29,61.85,NA,212,NA,0.45,"Collalti 2020, Nature","evergreen","Forest","Scots pine",10.1695090566363,502.362803649902,15.1999998092651,0.586301369863014,6.21932257509204,2.72129541530388,-0.53392133856064,5.35658627467201,0.610958904109589,-0.492725582122373
"33",33,33,24.29,61.85,NA,13,NA,0.65,"Collalti 2020, Nature","evergreen","Forest","Scots pine",10.1695090566363,502.362803649902,15.1999998092651,0.586301369863014,6.21932257509204,2.72129541530388,-0.53392133856064,2.56494935746154,0.610958904109589,-0.492725582122373
"34",34,34,-89.34,46.24,314,175,1342,0.23397913561848,"Collalti 2020, Nature","deciduous","Forest","Tilia americana, Ostrya virginiana",12.4367158968108,619.683637084962,14.1490801944733,0.586301369863014,6.4292090850446,2.64964961805225,-0.53392133856064,5.16478597392351,0.608219178082192,-0.497219971710212
"35",35,35,-89.34,46.24,314,175,1323,0.237339380196523,"Collalti 2020, Nature","deciduous","Forest","Tilia americana, Ostrya virginiana",12.4367158968108,619.683637084962,14.1490801944733,0.586301369863014,6.4292090850446,2.64964961805225,-0.53392133856064,5.16478597392351,0.608219178082192,-0.497219971710212
"36",36,36,142.1,45.05,850.75,160,1439,0.591209173036831,"Collalti 2020, Nature","deciduous","Forest","Quercus crispula, Betula ermanii, 
Betula plataphylla",11.5140646249058,518.061233520515,10.3680003356934,0.668493150684932,6.25009344670263,2.33872417198775,-0.40272912828929,5.07517381523383,0.687671232876712,-0.374444414450708
"37",37,37,-121.5,44.23,387,150,1077,0.35933147632312,"Collalti 2020, Nature","evergreen","Forest","Tsuga mertensiana",9.69594952030617,616.80558166504,11.9710000038147,0.915068493150685,6.42455387160026,2.48248705858789,-0.0887563606057911,5.01063529409626,0.912328767123288,-0.0917548636020477
"38",38,38,-121.5,44.23,395.55,150,879,0.45,"Collalti 2020, Nature","evergreen","Forest","Tsuga mertensiana",9.69594952030617,616.80558166504,11.9710000038147,0.915068493150685,6.42455387160026,2.48248705858789,-0.0887563606057911,5.01063529409626,0.912328767123288,-0.0917548636020477
"39",39,39,17.29,60.5,808.3,105,1290,0.626589147286822,"Collalti 2020, Nature","evergreen","Forest","Scots pine , Norway spruce",10.2898628033698,529.139059448242,13.8324402618408,0.668493150684932,6.27125126961634,2.6270165770995,-0.40272912828929,4.65396035015752,0.684931506849315,-0.378436435720245
"40",40,40,17.29,60.5,NA,105,1290,0.685503875968992,"Collalti 2020, Nature","evergreen","Forest","Scots pine , Norway spruce",10.2898628033698,529.139059448242,13.8324402618408,0.668493150684932,6.27125126961634,2.6270165770995,-0.40272912828929,4.65396035015752,0.684931506849315,-0.378436435720245
"41",41,41,-80.55,42.66,346,5,603,0.57379767827529,"Collalti 2020, Nature","evergreen","Forest","Pinus Strobus",13.2124737855461,703.896572875981,9.46100019454956,0.753424657534247,6.55663143183676,2.24717810628563,-0.28312625591592,1.6094379124341,0.778082191780822,-0.250923115421285
